t,h,v
2.93,2.3707892035596636,-2.129732031762444
2.94,2.348589986814624,-2.227832031762442
2.95,2.326390770069583,-2.325932031762444
2.96,2.3041915533245434,-2.424032031762442
2.97,2.2819923365795027,-2.5221320317624443
2.98,2.259793119834463,-2.620232031762442
2.99,2.2375939030894223,-2.7183320317624444
3.0,2.2153946863443825,-2.8164320317624423
3.0100000000000002,2.193195469599342,-2.9145320317624446
3.02,2.170996252854302,-3.0126320317624424
3.0300000000000002,2.1487970361092614,-3.1107320317624443
3.04,2.1265978193642217,-3.208832031762442
3.0500000000000003,2.104398602619181,-3.3069320317624444
3.06,2.082199385874141,-3.4050320317624423
3.0700000000000003,2.0600001691291006,-3.5031320317624446
3.08,2.037800952384061,-3.6012320317624424
3.09,2.015601735639021,-3.6993320317624403
3.1,1.9934025188939801,-3.7974320317624426
3.11,1.9712033021489406,-3.8955320317624405
3.12,1.9490040854038997,-3.9936320317624427
3.13,1.9268048686588601,-4.091732031762441
3.14,1.9046056519138193,-4.189832031762443
3.15,1.8824064351687797,-4.287932031762441
3.16,1.8602072184237388,-4.386032031762443
3.17,1.8380080016786993,-4.484132031762441
3.18,1.8158087849336584,-4.582232031762443
3.19,1.7936095681886188,-4.680332031762441
3.2,1.771410351443578,-4.778432031762443
3.21,1.7492111346985384,-4.876532031762441
3.22,1.7270119179534975,-4.974632031762443
3.23,1.704812701208458,-5.072732031762441
3.24,1.682613484463417,-5.170832031762443
3.25,1.6604142677183775,-5.268932031762441
3.2600000000000002,1.6382150509733366,-5.367032031762443
3.27,1.6160158342282969,-5.465132031762441
3.2800000000000002,1.5938166174832562,-5.5632320317624435
3.29,1.5716174007382164,-5.661332031762441
3.3000000000000003,1.5494181839931758,-5.759432031762444
3.31,1.527218967248136,-5.8575320317624415
3.3200000000000003,1.5050197505030953,-5.955632031762444
3.33,1.4828205337580556,-6.053732031762442
3.34,1.460621317013016,-6.1518320317624395
3.35,1.4384221002679751,-6.249932031762442
3.36,1.4162228835229356,-6.34803203176244
3.37,1.3940236667778947,-6.446132031762442
3.38,1.3718244500328551,-6.54423203176244
3.39,1.3496252332878143,-6.642332031762442
3.4,1.3274260165427747,-6.74043203176244
3.41,1.3052267997977338,-6.838532031762442
3.42,1.2830275830526943,-6.93663203176244
3.43,1.2608283663076534,-7.034732031762442
3.44,1.2386291495626138,-7.13283203176244
3.45,1.216429932817573,-7.230932031762443
3.46,1.1942307160725334,-7.3290320317624404
3.47,1.1720314993274925,-7.427132031762443
3.48,1.149832282582453,-7.525232031762441
3.49,1.127633065837412,-7.623332031762443
3.5,1.1054338490923725,-7.721432031762441
3.5100000000000002,1.0832346323473316,-7.819532031762443
3.52,1.0610354156022919,-7.917632031762441
3.5300000000000002,1.0388361988572512,-8.015732031762443
3.54,1.0166369821122114,-8.11383203176244
3.5500000000000003,0.9944377653671709,-8.211932031762442
3.56,0.9722385486221311,-8.310032031762441
3.5700000000000003,0.9500393318770903,-8.408132031762444
3.58,0.9278401151320507,-8.50623203176244
3.59,0.9056408983870109,-8.60433203176244
3.6,0.8834416816419702,-8.702432031762442
3.61,0.8612424648969305,-8.800532031762438
3.62,0.8390432481518898,-8.89863203176244
3.63,0.81684403140685,-8.99673203176244
3.64,0.7946448146618094,-9.094832031762442
3.65,0.7724455979167696,-9.192932031762439
3.66,0.7502463811717289,-9.291032031762441
3.67,0.7280471644266892,-9.38913203176244
3.68,0.7058479476816485,-9.487232031762442
3.69,0.6836487309366087,-9.585332031762439
3.7,0.661449514191568,-9.683432031762441
3.71,0.6392502974465283,-9.78153203176244
3.72,0.6170510807014876,-9.879632031762442
3.73,0.5948518639564478,-9.97773203176244
3.74,0.5726526472114072,-10.075832031762442
3.75,0.5504534304663674,-10.17393203176244
3.7600000000000002,0.5282542137213267,-10.272032031762443
3.77,0.506054996976287,-10.37013203176244
3.7800000000000002,0.48385578023124626,-10.468232031762442
3.79,0.46165656348620654,-10.56633203176244
3.8000000000000003,0.4394573467411658,-10.664432031762443
3.81,0.4172581299961261,-10.76253203176244
3.8200000000000003,0.3950589132510854,-10.860632031762442
