t,y1,y2,y3
0.00863846218455062,0.9996549572920277,3.646050562857487e-05,0.000308582202344548
0.008748668120479905,0.9996505630728066,3.6459693814126835e-05,0.0003129772333800272
0.00886028001826382,0.9996461129933926,3.6458871673766474e-05,0.0003174281349344666
0.00897331581458352,0.9996416063462479,3.645803908079312e-05,0.0003219356146721399
0.009087793674948982,0.9996370424149389,3.6457195907173046e-05,0.00032650038915475277
0.009203731996618222,0.9996324204740257,3.645634202144306e-05,0.0003311231839537055
0.009321149411553908,0.9996277397889506,3.645547729128402e-05,0.000335804733759017
0.009440064789417604,0.9996229996159252,3.645460158109596e-05,0.0003405457824945746
0.009560497240602197,0.9996181992018165,3.64537147540642e-05,0.00034534708343024776
0.009682466119303124,0.9996133377840313,3.645281667075088e-05,0.0003502093992988432
0.009805991026628618,0.9996084145903986,3.6451907190044684e-05,0.00035513350241207894
0.009931091813749801,0.9996034288390527,3.6450986168757094e-05,0.0003601201747793127
0.010057788585090809,0.9995983797383119,3.6450053461916255e-05,0.0003651702082269793
0.010186101701559752,0.9995932664865583,3.6449108922532895e-05,0.0003702844045199884
0.010316051783820796,0.9995880882721149,3.644815240190139e-05,0.0003754635754840258
0.010447659715608052,0.9995828442731216,3.644718374932139e-05,0.0003807085431298958
0.010580946647081629,0.9995775336574096,3.6446202811815346e-05,0.000386020139779337
0.010715933998226712,0.9995721555823747,3.644520943480258e-05,0.0003913992081913819
0.010852643462295801,0.9995667091948479,3.644420346179132e-05,0.00039684660169119645
0.01099109700929496,0.9995611936309663,3.6443184733786485e-05,0.0004023631843007309
0.011131316889514548,0.9995556080160413,3.64421530903143e-05,0.000407949830869295
0.011273325637104871,0.9995499514644247,3.6441108368908735e-05,0.0004136074272072223
0.011417146073697704,0.9995442230793752,3.6440050404631434e-05,0.0004193368702210832
0.011562801312073753,0.9995384219529208,3.643897903094387e-05,0.000425139068049128
0.01171031475987705,0.9995325471657219,3.6437894079086066e-05,0.00043101494019983424
0.011859710123376705,0.9995265977869313,3.643679537810475e-05,0.0004369654176914283
0.012011011411276565,0.9995205728740529,3.643568275501728e-05,0.00044299144319290073
0.01216424293857368,0.9995144714727991,3.643455603467229e-05,0.00044909397116704307
0.012319429330465774,0.9995082926169464,3.643341503954732e-05,0.000455273968014943
0.012476595526308684,0.9995020353281887,3.643225958989334e-05,0.0004615324122222425
0.012635766783624287,0.9994956986159895,3.643108950422412e-05,0.0004678702945070841
0.012796968682159416,0.9994892814774325,3.6429904598532826e-05,0.0004742886179698248
0.012960227127996844,0.9994827828970698,3.642870468653578e-05,0.0004807883982444757
0.013125568357718428,0.9994762018467693,3.642748957964521e-05,0.0004873706636519073
0.01329301894262151,0.9994695372855591,3.642625908694178e-05,0.0004940364553548452
0.013462605792989111,0.999462788159471,3.642501301514678e-05,0.0005007868275146718
0.013634356162414448,0.9994559534013823,3.642375116859404e-05,0.0005076228474500432
0.013808297652180923,0.9994490319308553,3.6422473348567954e-05,0.0005145455957968739
0.013984458215697694,0.9994420226539747,3.642117935451338e-05,0.0005215561666716096
0.014162866162991974,0.9994349244631819,3.641986898367312e-05,0.0005286556678351772
0.014343550165258654,0.9994277362371117,3.6418542030485656e-05,0.000535845220858649
0.014526539259467812,0.9994204568404225,3.641719828685312e-05,0.0005431259612914906
0.014711862853031292,0.9994130851236271,3.641583754211111e-05,0.0005504990388315272
0.014899550728528537,0.999405619922921,3.6414459582998225e-05,0.0005579656174968569
